id,Age,PPSN
364,78,5581518I
365,64,4042062U
366,64,9951659X
367,69,9042567q
368,66,8522470i
369,21,5639544L
370,68,7103205A
371,60,1247698Z
372,71,5511213P
373,30,8926962t
374,46,2111334J
375,30,9351141t
376,53,1680460d
377,56,2846492u
378,37,7588351P
379,30,1985569I
380,37,6529152C
381,65,1448571I
382,73,1230357m
383,74,3331448l
384,40,3835477W
385,28,6037784P
386,43,7105598g
387,41,3349607x
388,41,6831805H
389,56,4436902T
390,69,8168631F
391,24,8882551w
392,24,1381536w
393,61,8001512g
394,29,8254554b
395,20,6605125O
396,45,9779425A
397,80,4590129W
398,66,2358372J
399,42,1514816y
400,23,9715722U
401,49,8655929i
402,26,7125728m
403,24,3743342H
404,45,2601600e
405,70,5814837n
406,25,5359503g
407,55,1568471v
408,54,3996759x
409,70,8460233w
410,61,3111034O
411,19,7010375U
412,73,4147337T
413,50,4954997V
414,24,8934248N
415,44,9739216h
416,26,8291802C
417,40,7320567f
418,31,8028924U
419,55,9127190X
420,64,1243816R
421,79,7613825g
422,63,9593905k
423,46,6542097D
424,43,7160715i
425,75,2342706M
426,30,5354001r
427,76,6948074G
428,69,1611618X
429,58,8667179x
430,77,8145834m
431,40,7450177r
432,62,5477545Z
433,79,3846098Z
434,40,7778400l
435,29,2627643Y
436,30,9733177Y
437,72,7420388Z
438,67,6932029o
439,80,6761602f
440,57,1812418D
441,68,2378580D
442,60,4375023r
443,72,3710590e
444,46,5204546A
445,55,1440678y
446,67,7285518E
447,59,9687560a
448,64,7466072H
449,36,8432984K
450,32,5936572E
451,39,2711094U
452,64,6291670l
453,25,8996220P
454,73,1542465H
455,32,6367857M
456,67,3606337Q
457,40,4650709g
458,22,9977115q
459,38,9467617b
460,19,3103753Y
461,41,8410417m
462,26,9802368i
463,36,8390321C
464,78,9567306v
465,74,1049641a
466,64,8412953Z
467,26,2157262X
468,29,2376634L
469,54,1129839C
470,43,2350282w
471,37,8555151J
472,22,8115820w
473,75,3517660E
474,61,7796213V
475,19,7696519l
476,19,9523295w
477,54,3768807l
478,65,1535536V
479,55,2993495J
480,80,2117476l
481,67,4172483L
482,69,4297704j
483,55,6736064n
484,79,7722565B
485,38,6910548w
486,42,7397072D
487,19,6250782N
488,80,3066314m
489,48,8140941t
490,30,9544559Y
491,75,2718343E
492,35,6840757J
493,46,5808712n
494,76,6860479f
495,38,3947608X
496,55,4708456u
497,76,3916119d
498,52,1893637r
499,68,4091273Q
500,20,5891060q
501,64,7301811W
502,19,8351504W
503,78,9770868q
504,29,6601895U
505,74,6116379J
506,66,6908341r
507,75,7402637k
508,53,4065034D
509,32,6934782z
510,38,4053380h
511,70,1687935s
512,45,7880902d
513,43,1109326j
514,39,7929854A
515,74,5461183V
516,35,8053011z
517,21,1451256l
518,56,6979442u
519,34,7894909h
520,64,1560337M
521,37,1335492A
522,37,5707480T
523,44,8501682z
524,41,8489318F
525,24,5491997p
526,44,9523246q
527,53,8637774s
528,24,8842488s
529,52,1207955P
530,58,9471152J
531,35,2384265X
532,48,1503080v
